year,prop_10,prop_20,prop_30,prop_40,prop_50,prop_60,prop_70,prop_80,prop_90,prop_100,prop_110,prop_120,prop_130
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,0.30775716786044366,0.2901694878867384,0.29857223532848975,0.31323657256098114,0.28596568737735245,0.3227098575666485,0.27264866254626957,0.26962069593796467,0.27833184481973683,0.308426047556048,0.31408188740743986,0.2896160868558372,0.2744188596153866
2022,0.39917289976918924,0.3314294662086073,0.332349428578274,0.3550740615615217,0.35445378265656696,0.30972639844798694,0.31637971670232534,0.34206318898988797,0.3402377688262416,0.30707218659789426,0.37174056997848237,0.32723894257530883,0.33094140459858984
2023,0.3445258206271896,0.36792176977252933,0.4094565885026443,0.36632021970763934,0.34201565562272473,0.356288046986784,0.3679321835771143,0.41633990548133637,0.3767022524441519,0.39692423957690387,0.35579285482546064,0.3889473060683002,0.3624828749213437
2024,0.38795449287161327,0.4156925358478127,0.4027370776882264,0.39876782668924454,0.4257633802623481,0.41450156185019216,0.38695431154946974,0.4207046443782652,0.35611891701748344,0.4054853365716038,0.3891132044408368,0.372441796435559,0.4203766814731568
2025,0.4275339585737904,0.42766859334507357,0.4597593166618401,0.42693744483218626,0.4446193397286101,0.48376802172926403,0.42009180088707027,0.42528994081768146,0.36980973442398696,0.41556687385907404,0.43686148761592075,0.46319961161718354,0.4563674101140265
2026,0.46173690569649417,0.412137523991978,0.4737837093293262,0.4516487744359329,0.5104239639433055,0.4528639034918584,0.4634618620897615,0.44655986349987287,0.4630556617223832,0.4114842579646789,0.45708248062415024,0.45354153970311006,0.4037437848831262
2027,0.4191795376240002,0.4955202344713312,0.49179820579726236,0.4969140205084517,0.5207565857029404,0.4769835117341606,0.499339836653566,0.470437404336781,0.4844366794162001,0.5358709292032224,0.48558020663092016,0.4863922718711047,0.45501543293197755
2028,0.4428757761596014,0.4776500013399055,0.4433260424586232,0.4596081830822006,0.4768927518566066,0.44493115768841857,0.4066111482077305,0.503553582379866,0.44857658947398993,0.45237293759051184,0.43664281766950236,0.4574160073361527,0.46205689386136595
2029,0.5069751370807003,0.5164102797806643,0.5212237388779681,0.543748105248592,0.4493261488200868,0.5626019133037214,0.5522636840286864,0.5872172963217401,0.5012334685241037,0.5223312942185226,0.5085030178609654,0.5416897756968038,0.47519296806095707
2030,0.5244553101517742,0.48716011721678176,0.5184716657357059,0.5220119945432887,0.48317223525241715,0.4337243472270538,0.5042503794089284,0.5380579744194127,0.5331855908266935,0.5252269408317743,0.44295449945375837,0.4786384750423051,0.4988197297502468
2031,0.5790263478828848,0.5347159668198164,0.528924885586653,0.5076526643691482,0.49570692759988894,0.5061956819857845,0.5218582615527345,0.499449607567411,0.523743903174082,0.5890362867629036,0.5277281088360247,0.5310639648414636,0.5292633912460941
2032,0.5520358690886857,0.5235362084425232,0.5958595521227855,0.555530069005449,0.5587430805076138,0.5263894022824831,0.4779657484267896,0.5242401750031171,0.5085820801991706,0.5348432325950235,0.4707419145936408,0.5541745823720184,0.5465254217611668
2033,0.5289038648946012,0.5671753092972478,0.535282688148026,0.5624154622761088,0.6030680762326939,0.48786388744809384,0.49804066543261305,0.5329872522768171,0.5372501493150421,0.5494258643176794,0.5173151138944303,0.49220454619466764,0.5664719837427503
2034,0.5845803120417031,0.5535051493857942,0.5777899874653571,0.575138997917929,0.5682004594459497,0.5116448316668001,0.5602101098316231,0.496411963392406,0.5802150480768348,0.5143373934375094,0.4995009671754146,0.536223312946314,0.503894840926127
2035,0.5456538635305089,0.5350278158097289,0.6040784774173522,0.49885860856774,0.5216886517877013,0.5133042203613787,0.5246955635206716,0.5429216271051146,0.5585710443573066,0.5369750147553054,0.5503822697433849,0.5272503611134337,0.5188768321358198
