year,SF_12_10,SF_12_20,SF_12_30,SF_12_40,SF_12_50,SF_12_60,SF_12_70,SF_12_80,SF_12_90,SF_12_100,SF_12_110,SF_12_120,SF_12_130
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,0.036421233078878776,0.03421256635134107,0.039261771927531545,0.03801717639444487,0.03446204733202142,0.04025587622739055,0.03554639438913075,0.03793561956774977,0.04216068133703656,0.03509975948072637,0.04192687709208919,0.039530134933178473,0.042094246712283186
2022,0.049793058204124274,0.04025711781235619,0.0397449052454107,0.04315853805661282,0.04630376243028058,0.046373179500691274,0.03672951041254585,0.03817979490060003,0.03986914119652523,0.041243989221582476,0.044253176947691174,0.05037639548060748,0.041013941202424714
2023,0.046044725419922806,0.045844410749848,0.05120054816976569,0.04556768466736819,0.049642715952776625,0.04785719694885363,0.04859098453090192,0.048989774135787346,0.0521901878283084,0.04526987844677156,0.04771880456412738,0.05516439620370101,0.04603127184654732
2024,1.04826553659319961,0.05289079177070142,0.04603853592944067,0.050213487805104776,0.05459367497928263,0.05604983231626818,0.053302968660624304,0.05443315483425741,0.05094784278086879,0.04436266285500143,0.04826150644266502,0.05246598334532331,0.045776930491487275
2025,2.056850405167449394,0.06041536772472984,0.05394306149667243,0.05524241144162454,0.06745180354931064,0.061785430204538284,0.056720664574815595,0.053204090861861786,0.06229898330653545,0.052607043426332885,0.05433466548061185,0.057989839417054906,0.05504728564972007
2026,1.05545810514678573,0.05634854331691606,0.05876041051056793,0.05395802676866082,0.06404477390270853,0.05421846155318594,0.05622345771274667,0.05111063295385893,0.05253114738393599,0.051122261494160055,0.05275613464589717,0.05663400981337131,0.05054968736274623
2027,10.058789790947596156,0.060890794614888166,0.056885894597215866,0.05307498567221825,0.057053770108095016,0.06268319349194874,0.056578990229471965,0.0622683688881402,0.058041289135380605,0.05751240321951002,0.055144578883964665,0.05727209196400831,0.05311874071291389
2028,0.06094182924800303,0.06534717665349193,0.058505660288183665,0.06121298462727477,0.05294006658538658,0.06201153223470459,0.05265601723360387,0.06607690251295434,0.06250308152711916,0.05783859737131931,0.05875820332975868,0.06097201747256283,0.05366925073040268
2029,0.054225286977816534,0.059859513308882145,0.05795432240204642,0.056488025102807184,0.052884484291454696,0.05671436337394299,0.0535878208981192,0.05397356400154953,0.05476444060590631,0.057437417008261236,0.05098103439058169,0.05334184429357568,0.05189611617701663
2030,0.050388951068376236,0.06247283658882467,0.059958280581377324,0.052987155647782225,0.051861542366469934,0.04803223410837684,0.05483923957982687,0.055289847333199825,0.05544446174679854,0.05819129024011913,0.05275344831495814,0.0521690971255587,0.05379036868081645
2031,0.04956180643438679,0.05736647314078729,0.05367859801196281,0.05343273529008318,0.04670272985253971,0.0516657395354077,0.05642898042140167,0.05124001756409711,0.05396428913354626,0.05477923073733046,0.05054903114187588,0.0554365667016068,0.054344222318839355
2032,0.05249341105012824,0.05773115463394544,0.05420866167747314,0.05765628773307361,0.0512721199964346,0.05826389216393726,0.05571851773647659,0.056816058880991886,0.06052148595121168,0.05682629410039517,0.05211618685309816,0.05636925244123261,0.05566439046836139
2033,0.057084165279555774,0.056848636704608047,0.05134302798774269,0.05777334616859367,0.05278303601952801,0.05807769101621973,0.05350944086213391,0.06121388535962668,0.06047584351455871,0.058540161284449534,0.05223162274553363,0.05831548121476849,0.05580843089486084
2034,0.05495955122947061,0.0537380637061512,0.0533192453944929,0.05947353693111851,0.05205452559011262,0.05767558274821071,0.055601857643789436,0.05908493136515739,0.06128414238814396,0.05750719291167643,0.04779217834290082,0.058310924870435134,0.05372239725986365
2035,0.06177785588375155,0.05910167133284753,0.05716620184596678,0.06361172709819723,0.05874011945914614,0.05804040792453411,0.0612348284439294,0.06116927417511049,0.061483831659215185,0.06228375179342902,0.05527390768854189,0.06267508631561555,0.060768764379149916
